option_code,オプション名,カテゴリ,代表価格(円)
AI-101,紙面検査ユニット,検査,1832750.0
AU-206,ICカード認証装置,アクセサリ/その他,62300.0
CR-101,SD-513用クリーサーユニット,後加工/フィニッシャー,478500.0
CR-102,TU-510e用クリーサーユニット(下凸側),後加工/フィニッシャー,482900.0
CR-103,TU-510e用クリーサーユニット(上凸側),後加工/フィニッシャー,392700.0
CU-104,EF-106用クリーンユニット,排紙/封筒,93500.0
DF-713,自動原稿送り装置,アクセサリ/その他,323950.0
EF-105,封筒定着ユニット,排紙/封筒,462000.0
EF-106,封筒定着ユニット,排紙/封筒,1355200.0
EF-108,封筒定着ユニット,排紙/封筒,528000.0
EF-109,封筒定着ユニット,排紙/封筒,484000.0
EF-111,封筒定着ユニット,排紙/封筒,559000.0
EK-612,IC-609用USBプリントオプション,コントローラー/RIP,207900.0
ES-3000,分光光度計 ES-3000,計測/品質,165000.0
EV-1,封筒給紙キット EV-1,給紙,400000.0
EV-101,封筒給紙キット,給紙,400000.0
EV-102,封筒給紙補助キット,給紙,160000.0
EV-2,封筒給紙補助キット EV-2,給紙,160000.0
FA-503,PI-PFUキット,給紙,286000.0
FA-505,PFU拡張キット,給紙,93500.0
FA-505 TypeB,PFU拡張キット,給紙,93500.0
FD-503 TypeB,マルチ折りユニット,後加工/フィニッシャー,1496000.0
FD-504,SD-513用スクェアフォールドユニット,後加工/フィニッシャー,753500.0
FS-532 TypeF,ステープルフィニッシャー,排紙/封筒,665500.0
FS-541,ステープルフィニッシャー,排紙/封筒,755700.0
HD-523 TypeB,HDDインナーケースキット,アクセサリ/その他,165000.0
HM-103,加湿デカーラーユニット,給紙,1661000.0
HT-503,防湿ヒーター(LU-208 TypeB用),給紙,148500.0
HT-506 TypeC,防湿ヒーター(3段給紙),給紙,335500.0
HT-511,防湿ヒーター(本体トレイ用),給紙,16500.0
HT-515,防湿ヒーター(LU-208/LU-208XL用),給紙,148500.0
IC-318 V2.0,Fieryプリントサーバー スタンダード,コントローラー/RIP,5011600.0
IC-318L V2.0,Fieryプリントサーバー スタンダード,コントローラー/RIP,3498000.0
IC-321,Fieryプリントサーバー スタンダード,コントローラー/RIP,4146000.0
IC-322,Fieryプリントサーバー スタンダード,コントローラー/RIP,5296300.0
IC-323,Fieryプリントサーバー ハイエンド,コントローラー/RIP,9226300.0
IC-609,イメージコントローラー,コントローラー/RIP,1848000.0
IC-610,イメージコントローラー,コントローラー/RIP,3542000.0
IC-613,イメージコントローラー,コントローラー/RIP,2593000.0
IC-614,イメージコントローラー,コントローラー/RIP,3736300.0
IM-101,インテリジェントメディアセンサー,計測/品質,167750.0
IM-104,インテリジェントメディアセンサー,計測/品質,1696200.0
IM-105,インテリジェントメディアセンサー,計測/品質,1276200.0
IQ-501,インテリジェントクオリティオプティマイザー,検査,3759250.0
IQ-601,インテリジェントクオリティオプティマイザー,検査,3989250.0
JS-507 TypeB,TU-510e用セパレーター,後加工/フィニッシャー,166100.0
JS-507TypeB,TU-510e用セパレーター,後加工/フィニッシャー,166100.0
LC-502,LS-507用追加台車,後加工/フィニッシャー,118800.0
LS-502,大容量スタッカー追加台車,後加工/フィニッシャー,118800.0
