mach_id,model_cd,pmtc_counter,pmtc_distance,create_update_date
A9CU081000304,C2060,1393755.0,884.0,2025-04-30 02:22:06.000
A9CU081000116,C2060,1993290.0,906.0,2025-04-30 00:16:06.000
A9CU081000256,C2060,770559.0,514.0,2025-04-29 09:14:59.000
A9CU081000078,C2060,736388.0,479.0,2025-04-29 06:47:48.000
A9CU081000178,C2060,2710658.0,1283.0,2025-04-30 04:04:16.000
A9CU081000303,C2060,999224.0,700.0,2025-04-30 00:34:09.000
A9CU081000159,C2060,2269399.0,885.0,2025-04-30 01:33:35.000
A9CU081000145,C2060,1579584.0,994.0,2025-04-30 03:04:56.000
A9CU081000046,C2060,3644857.0,1598.0,2025-04-25 07:47:03.000
A9CU081000232,C2060,1047583.0,727.0,2025-04-30 01:47:36.000
A9CU081000101,C2060,2124383.0,1080.0,2025-04-30 00:32:26.000
A9CU081000084,C2060,1429797.0,793.0,2025-04-30 00:55:05.000
A9CU081000281,C2060,3070099.0,1691.0,2025-04-30 11:10:23.000
A9CU081000336,C2060,2415320.0,1045.0,2025-04-30 01:12:59.000
A9CU081000130,C2060,3418205.0,1433.0,2025-04-30 02:23:20.000
A9CU081000142,C2060,1041499.0,693.0,2025-04-29 13:16:11.000
A9CU081000034,C2060,1217404.0,522.0,2025-04-29 06:13:08.000
A9CU081000029,C2060,925757.0,557.0,2025-04-30 05:29:51.000
A9CU081000253,C2060,877337.0,682.0,2025-04-30 01:04:09.000
A9CU081000114,C2060,1089672.0,552.0,2025-04-18 08:01:01.000
A9CU081000237,C2060,1504820.0,844.0,2025-04-30 04:38:57.000
A9CU081000338,C2060,1065942.0,572.0,2025-04-30 00:29:25.000
A9CU081000097,C2060,938668.0,636.0,2025-04-30 01:34:56.000
A9CU081000127,C2060,2876693.0,1225.0,2025-04-30 01:41:26.000
A9CU081000137,C2060,247909.0,312.0,2025-04-29 02:08:41.000
A9CU081000150,C2060,550200.0,589.0,2025-04-30 00:47:09.000
A9CU081000005,C2060,2242556.0,925.0,2025-04-28 03:18:53.000
A9CU081000133,C2060,4519594.0,2016.0,2025-04-30 06:33:37.000
A9CU081000033,C2060,1130859.0,598.0,2025-04-30 05:33:41.000
A9CU081000317,C2060,2862983.0,1124.0,2025-04-30 02:10:10.000
A9CU081000322,C2060,282796.0,241.0,2025-04-29 02:51:01.000
A9CU081000331,C2060,3628365.0,1548.0,2025-04-30 03:58:00.000
A9CU081000238,C2060,1762066.0,891.0,2025-04-30 07:42:08.000
A9CU081000113,C2060,487471.0,301.0,2025-04-28 05:58:49.000
A9CU081000164,C2060,1210474.0,688.0,2025-04-30 02:22:06.000
A9CU081000329,C2060,1168202.0,657.0,2025-04-30 05:16:11.000
A9CU081000173,C2060,802561.0,490.0,2025-04-30 02:54:10.000
A9CU081000061,C2060,292563.0,253.0,2025-04-29 09:23:39.000
A9CU081000176,C2060,511870.0,293.0,2025-04-29 23:25:55.000
A9CU081000112,C2060,1261811.0,760.0,2025-04-30 02:29:26.000
A9CU081000019,C2060,1182848.0,596.0,2025-04-30 00:47:09.000
A9CU081000292,C2060,455782.0,284.0,2025-04-30 00:31:05.000
A9CU081000068,C2060,2973929.0,1484.0,2025-04-30 08:02:28.000
A9CU081000197,C2060,3137386.0,1561.0,2025-04-30 01:12:40.000
A9CU081000314,C2060,568796.0,403.0,2025-04-30 01:15:05.000
A9CU081000186,C2060,366847.0,389.0,2025-04-30 07:25:42.000
A9CU081000226,C2060,1257448.0,834.0,2025-04-30 00:48:39.000
A9CU081000031,C2060,450282.0,363.0,2025-04-30 04:14:30.000
A9CU081000235,C2060,671908.0,537.0,2025-04-30 00:58:05.000
A9CU081000215,C2060,266366.0,182.0,2025-04-30 04:09:26.000
A9CU081000306,C2060,3557732.0,1775.0,2025-04-30 04:36:11.000
A9CU081000093,C2060,560242.0,456.0,2025-04-30 00:21:29.000
A9CU081000089,C2060,346511.0,246.0,2025-04-28 10:21:41.000
A9CU081000104,C2060,1256466.0,839.0,2025-04-30 03:51:16.000
A9CU081000153,C2060,451293.0,366.0,2025-04-30 01:33:45.000
A9CU081000264,C2060,855359.0,519.0,2025-04-30 01:41:26.000
A9CU081000337,C2060,1838295.0,748.0,2025-04-30 01:42:40.000
A9CU081000191,C2060,433689.0,361.0,2025-04-30 01:30:55.000
A9CU081000315,C2060,1200147.0,789.0,2025-04-30 03:27:06.000
A9CU081000276,C2060,777903.0,462.0,2025-04-30 07:30:58.000
A9CU081000198,C2060,532296.0,491.0,2025-04-30 00:05:09.000
A9CU081000035,C2060,1412130.0,748.0,2025-04-30 01:23:55.000
A9CU081000313,C2060,937926.0,656.0,2025-04-30 00:08:05.000
A9CU081000002,C2060,2267662.0,1067.0,2025-04-30 00:50:09.000
A9CU081000074,C2060,490356.0,344.0,2025-04-30 05:46:41.000
A9CU081000269,C2060,997596.0,598.0,2025-04-30 04:35:47.000
A9CU081000109,C2060,1278502.0,621.0,2025-04-30 02:48:36.000
A9CU081000183,C2060,2336187.0,1102.0,2025-04-30 01:09:45.000
A9CU081000092,C2060,936588.0,565.0,2025-04-30 01:14:59.000
A9CU081000077,C2060,751948.0,585.0,2025-04-30 03:47:26.000
A9CU081000311,C2060,2411929.0,1331.0,2025-04-30 05:43:57.000
A9CU081000222,C2060,1912004.0,1045.0,2025-04-30 06:02:01.000
A9CU081000227,C2060,717943.0,615.0,2025-04-30 00:51:35.000
A9CU081000066,C2060,945116.0,601.0,2025-04-30 00:36:06.000
A9CU081000210,C2060,419469.0,166.0,2025-04-30 07:58:32.000
A9CU081000320,C2060,836543.0,504.0,2025-04-29 01:21:41.000
A9CU081000040,C2060,330801.0,308.0,2025-04-30 04:48:11.000
A9CU081000020,C2060,1722252.0,773.0,2025-04-14 11:57:56.000
A9CU081000254,C2060,1818408.0,982.0,2025-04-30 07:34:38.000
A9CU081000140,C2060,1023543.0,580.0,2025-04-30 03:38:36.000
A9CU081000065,C2060,919236.0,577.0,2025-04-30 05:00:57.000
A9CU081000055,C2060,936827.0,595.0,2025-04-30 01:22:46.000
A9CU081000246,C2060,1955751.0,796.0,2025-04-30 10:23:33.000
A9CU081000249,C2060,1989623.0,951.0,2025-04-29 23:59:25.000
A9CU081000160,C2060,1236964.0,853.0,2025-04-30 02:07:46.000
A9CU081000334,C2060,1159379.0,676.0,2025-04-30 05:22:31.000
A9CU081000308,C2060,61036.0,124.0,2025-04-24 05:26:58.000
A9CU081000302,C2060,2360088.0,979.0,2025-04-30 06:10:41.000
A9CU081000201,C2060,1127666.0,686.0,2025-04-30 05:18:31.000
A9CU081000343,C2060,1913522.0,1044.0,2025-04-30 00:35:59.000
A9CU081000022,C2060,2560505.0,1100.0,2025-04-30 05:14:51.000
A9CU081000185,C2060,1153926.0,671.0,2025-04-30 07:59:42.000
A9CU081000075,C2060,1905857.0,879.0,2025-04-30 05:03:21.000
A9CU081000327,C2060,1329737.0,664.0,2025-04-30 09:45:13.000
A9CU081000233,C2060,908257.0,559.0,2025-04-30 05:16:07.000
A9CU081000255,C2060,661271.0,438.0,2025-04-30 05:02:07.000
A9CU081000244,C2060,1595609.0,793.0,2025-04-30 05:43:57.000
A9CU081000100,C2060,3543031.0,1694.0,2025-04-30 00:27:55.000
A9CU081000050,C2060,1003693.0,541.0,2025-04-30 10:03:19.000
A9CU081000213,C2060,379592.0,197.0,2025-04-30 01:57:10.000
A9CU081000175,C2060,554446.0,477.0,2025-04-30 01:44:10.000
A9CU081000043,C2060,1297373.0,869.0,2025-04-30 02:36:30.000
A9CU081000129,C2060,485373.0,483.0,2025-04-30 00:20:06.000
A9CU081000332,C2060,495869.0,509.0,2025-04-30 11:51:59.000
A9CU081000095,C2060,2579621.0,1193.0,2025-04-30 01:46:00.000
A9CU081000321,C2060,703669.0,532.0,2025-04-30 07:37:08.000
A9CU081000155,C2060,828631.0,509.0,2025-04-30 01:47:40.000
A9CU081000220,C2060,1743265.0,950.0,2025-04-30 04:45:37.000
A9CU081000038,C2060,519996.0,457.0,2025-04-29 07:20:03.000
A9CU081000063,C2060,1203663.0,693.0,2025-04-30 00:42:15.000
A9CU081000236,C2060,1777937.0,915.0,2025-04-30 00:36:06.000
A9CU081000030,C2060,380328.0,461.0,2025-04-30 04:49:57.000
A9CU081000316,C2060,2344868.0,1131.0,2025-04-30 06:55:11.000
A9CU081000270,C2060,531488.0,443.0,2025-04-30 01:15:15.000
A9CU081000325,C2060,505145.0,435.0,2025-04-30 07:57:22.000
A9CU081000209,C2060,862172.0,596.0,2025-04-30 01:37:30.000
A9CU081000193,C2060,732844.0,480.0,2025-04-30 13:00:40.000
A9CU081000300,C2060,3172955.0,1861.0,2025-04-30 01:41:26.000
A9CU081000007,C2060,3493922.0,1640.0,2025-04-30 05:26:17.000
A9CU081000192,C2060,619795.0,364.0,2025-04-30 02:46:06.000
A9CU081000072,C2060,1316289.0,926.0,2025-04-30 03:33:26.000
A9CU081000290,C2060,644056.0,501.0,2025-04-30 09:09:12.000
A9CU081000218,C2060,3676557.0,1763.0,2025-04-30 01:16:49.000
A9CU081000330,C2060,4181314.0,1609.0,2025-04-30 00:02:35.000
A9CU081000184,C2060,2729548.0,1265.0,2025-04-29 23:39:25.000
A9CU081000099,C2060,1031896.0,544.0,2025-04-30 08:08:52.000
A9CU081000111,C2060,907352.0,594.0,2025-04-29 23:53:59.000
A9CU081000141,C2060,702773.0,589.0,2025-04-30 02:41:50.000
A9CU081000023,C2060,1211709.0,771.0,2025-04-30 04:27:41.000
A9CU081000096,C2060,1089809.0,786.0,2025-04-30 04:53:51.000
A9CU081000273,C2060,1647749.0,972.0,2025-04-30 01:12:59.000
A9CU081000245,C2060,4130040.0,1471.0,2025-04-29 00:19:30.000
A9CU081000214,C2060,1087398.0,688.0,2025-04-30 00:32:26.000
A9CU081000057,C2060,1006032.0,546.0,2025-04-30 00:56:45.000
A9CU081000154,C2060,368232.0,427.0,2025-04-30 09:54:58.000
A9CU081000319,C2060,621703.0,357.0,2025-04-30 00:13:19.000
A9CU081000297,C2060,478780.0,278.0,2025-04-30 02:12:46.000
A9CU081000309,C2060,3694628.0,1625.0,2025-04-30 00:17:15.000
A9CU081000169,C2060,909664.0,626.0,2025-04-30 02:59:46.000
